关于做好2021年中秋及国庆假期疫情防控工作有关事宜...
关于严肃第七次党代会换届选举纪律的通知
学校办公室关于2021年中秋节、国庆节放假安排的通知
关于报送2021年“行走中华 逐梦名企”精准就业社会...
2022届毕业生秋季校园招聘会安排（持续更新中）
2021年度教授三级岗推荐人员公示
关于做好中秋节假期安全工作的通知
关于哈尔滨工业大学（威海）2021年暑期社会实践评比...
2021年度山东省教育科学规划课题申报情况公告
校园违规车辆通报(六十三)
关于开展二级教代会作用发挥问卷调查的通知
山东省第十三届大学生科技节-大学生物理竞赛通知
“郭永怀之星”创新大赛暨第七届“北洋之星”电子信...
关于举办2021年青春启航迎新晚会暨中秋晚会通知
关于严明纪律清廉过节的通知
关于申报第一届山东省人民政府决策咨询奖的通知
哈尔滨工业大学（威海）2021年“1+3”辅导员招聘结...
关于开展2021年度新入职教职工岗前培训的通知
关于山东省第三十五届社会科学优秀成果奖申报推荐的...
关于开展2021年秋季学期“中期学生反馈” 教学咨询...
